date,tradition,title,epistle,gospel,matins,vespers,other
2040-01-06,greek,Friday of the 31st week after Pentecost,"Titus 2.11-14, 3.4-7 ~ Theophany",Matthew 3.13-17 ~ Theophany,Mark 1.9-11,,Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel
2040-01-06,slavic,Friday of the 31st week after Pentecost,Hebrews 1.1-12 ~ Eve of Nativity,Luke 2.1-20 ~ Eve of Nativity,,"Genesis 1.1-13 || Numbers 24.2-3, 5-9, 17-18 || Micah 4.6-7; 5.2-4 || Isaiah 11.1-10 || Jeremiah (Baruch 3.35-4.4) || Daniel 2.31-36, 44-45 || Isaiah 9.6-7 || Isaiah 7.10-16; 8.1-4, 9-10","1st Hour, Prophecy :: Micah 5.2-4 || 1st Hour, Epistle :: Hebrews 1.1-12 || 1st Hour, Gospel :: Matthew 1.18-25 || 3rd Hour, Prophecy :: Jeremiah (Baruch 3.35-4.4) || 3rd Hour, Epistle :: Galatians 3.23-29 || 3rd Hour, Gospel :: Luke 2.1-20 || 6th Hour, Prophecy :: Isaiah 7.10-16; 8.1-4, 9-10 || 6th Hour, Epistle :: Hebrews 1.10-2.3 || 6th Hour, Gospel :: Matthew 2.1-12 || 9th Hour, Prophecy :: Isaiah 9.6-7 || 9th Hour, Epistle :: Hebrews 2.11-18 || 9th Hour, Gospel :: Matthew 2.13-23"
2040-01-07,greek,Saturday of the 31st week after Pentecost,Ephesians 6.10-17 ~ Saturday after Theophany || Acts 19.1-8 ~ Forerunner,Matthew 4.1-11 ~ Saturday after Theophany || John 1.29-34 ~ Forerunner,,,
2040-01-07,slavic,Saturday of the 31st week after Pentecost,Galatians 4.4-7 ~ Nativity,Matthew 2.1-12 ~ Nativity,Matthew 1.18-25,,
2040-01-08,greek,31st Sunday after Pentecost,Ephesians 4.7-13 ~ Sunday after Theophany || Romans 6.3-11 ~ Afterfeast of Theophany,Matthew 4.12-17 ~ Sunday after Theophany || John 3.22-33 ~ Afterfeast of Theophany,9th Matins Gospel :: John 20.19-31,,
2040-01-08,slavic,31st Sunday after Pentecost,Galatians 1.11-19 ~ Sunday after Nativity || Hebrews 2.11-18 ~ Theotokos,Matthew 2.13-23 ~ Sunday after Nativity and Theotokos || Matthew 2.13-23 ~ Theotokos,9th Matins Gospel :: John 20.19-31,,
2040-01-09,greek,Monday of the 32nd week after Pentecost,James 2.14-26 || 2 Timothy 2.1-10 ~ Afterfeast of Theophany,Luke 17.20-25 || Mark 1.9-15 ~ Afterfeast of Theophany,,,
2040-01-09,slavic,Monday of the 32nd week after Pentecost,"James 2.14-26 || Acts 6.8-7.5, 47-60 ~ St Stephen",Mark 10.46-52 || Matthew 21.33-42 ~ St Stephen,,,
2040-01-10,greek,Tuesday of the 32nd week after Pentecost,James 3.1-10 || Ephesians 4.7-13 ~ Afterfeast of Theophany,Luke 17.26-37; 18.8 || Luke 3.19-22 ~ Afterfeast of Theophany,,,
2040-01-10,slavic,Tuesday of the 32nd week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2040-01-11,greek,Wednesday of the 32nd week after Pentecost,James 3.11-4.6 || 2 Corinthians 4.6-15 ~ St Theodosius || Hebrews 13.7-16 ~ Afterfeast of Theophany,"Luke 18.15-17, 26-30 || Matthew 11.27-30 ~ St Theodosius || Luke 4.1-15 ~ Afterfeast of Theophany",Luke 6.17-23,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2040-01-11,slavic,Wednesday of the 32nd week after Pentecost,James 3.11-4.6,Mark 11.22-26,,,
2040-01-12,greek,Thursday of the 32nd week after Pentecost,James 4.7-5.9 || Acts 18.22-28 ~ Afterfeast of Theophany,Luke 18.31-34 || John 10.39-42 ~ Afterfeast of Theophany,,,
2040-01-12,slavic,Thursday of the 32nd week after Pentecost,James 4.7-5.9,Mark 11.27-33,,,
2040-01-13,greek,Friday of the 32nd week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10 || Galatians 3.23-4.5 ~ Afterfeast of Theophany",Luke 19.12-28 || Luke 20.1-8 ~ Afterfeast of Theophany,,,
2040-01-13,slavic,Friday of the 32nd week after Pentecost,"1 Timothy 6.11-16 ~ Saturday after Nativity || 1 Peter 1.1-2, 10-12, 2.6-10",Matthew 12.15-21 ~ Saturday after Nativity || Mark 12.1-12,,,
2040-01-14,greek,Saturday of the 32nd week after Pentecost,1 Thessalonians 5.14-23,Luke 10.16-21,,,
2040-01-14,slavic,Saturday of the 32nd week after Pentecost,1 Timothy 3.14-4.5 ~ Saturday before Theophany || Colossians 2.8-12 ~ Circumcision || Hebrews 7.26-8.2 ~ St Basil,"Matthew 3.1-11 ~ Saturday before Theophany || Luke 2.20-21, 40-52 ~ Circumcision || Luke 6.17-23 ~ St Basil",John 10.9-16,"Composite 1 - Genesis 17.1-2, 4, 5-7, 8, 9-10, 11-12, 14 || Proverbs 8.22-30 || Proverbs 10.31-11.12",
2040-01-15,greek,32nd Sunday after Pentecost,Ephesians 6.10-17 || Galatians 5.22-6.2 ~ John the Hut-Dweller,Luke 13.10-17 || Luke 12.32-40 ~ John the Hut-Dweller,10th Matins Gospel :: John 21.1-14,,
2040-01-15,slavic,32nd Sunday after Pentecost,2 Timothy 4.5-8 ~ Sunday before Theophany || Galatians 5.22-6.2 ~ St Seraphim,Mark 1.1-8 ~ Sunday before Theophany || Luke 6.17-23 ~ St Seraphim,10th Matins Gospel :: John 21.1-14,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2040-01-16,greek,Monday of the 33rd week after Pentecost,2 Timothy 2.20-26 || Acts 12.1-11 ~ Peter's Chains,Luke 19.37-44 || John 21.14-25 ~ Peter's Chains,,,
2040-01-16,slavic,Monday of the 33rd week after Pentecost,2 Timothy 2.20-26,Luke 19.37-44,,,
2040-01-17,greek,Tuesday of the 33rd week after Pentecost,2 Timothy 3.16-4.4 || Hebrews 13.17-21 ~ St Anthony,Luke 19.45-48 || Luke 6.17-23 ~ St Anthony,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2040-01-17,slavic,Tuesday of the 33rd week after Pentecost,2 Timothy 3.16-4.4,Luke 19.45-48,,,
2040-01-18,greek,Wednesday of the 33rd week after Pentecost,2 Timothy 4.9-22 || Hebrews 13.7-16 ~ Athanasius & Cyril,Luke 20.1-8 || Matthew 5.14-19 ~ Athanasius & Cyril,,,
2040-01-18,slavic,Wednesday of the 33rd week after Pentecost,1 Corinthians 9.19-27 ~ Eve of Theophany,Luke 3.1-18 ~ Eve of Theophany,,"Genesis 1.1-13 || Exodus 14.15-18, 21-23, 27-29 || Exodus 15.22-16.1 || Joshua 3.7-8, 15-17 || 4[2] Kings 2.6-14 || 4[2] Kings 5.9-14 || Isaiah 1.16-20 || Genesis 32.1-10 || Exodus 2.5-10 || Judges 6.36-40 || 3[1] Kings 18.30-39 || 4[2] Kings 2.19-22 || Isaiah 49.8-15","1st Hour, Prophecy :: Isaiah 35.1-10 || 1st Hour, Epistle :: Acts 13.25-33 || 1st Hour, Gospel :: Matthew 3.1-11 || 3rd Hour, Prophecy :: Isaiah 1.16-20 || 3rd Hour, Epistle :: Acts 19.1-8 || 3rd Hour, Gospel :: Mark 1.1-8 || 6th Hour, Prophecy :: Isaiah 12.3-6 || 6th Hour, Epistle :: Romans 6.3-11 || 6th Hour, Gospel :: Mark 1.9-15 || 9th Hour, Prophecy :: Isaiah 49.8-15 || 9th Hour, Epistle :: Titus 2.11-14, 3.4-7 || 9th Hour, Gospel :: Matthew 3.13-17 || Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel"
2040-01-19,greek,Thursday of the 33rd week after Pentecost,Titus 1.5-2.1 || Galatians 5.22-6.2 ~ Macarius the Great,Luke 20.9-18,,,
2040-01-19,slavic,Thursday of the 33rd week after Pentecost,"Titus 2.11-14, 3.4-7 ~ Theophany",Matthew 3.13-17 ~ Theophany,Mark 1.9-11,,Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel
2040-01-20,greek,Friday of the 33rd week after Pentecost,Titus 1.15-2.10 || 2 Corinthians 4.6-15 ~ St. Euthymius,Luke 20.19-26 || Luke 6.17-23 ~ St Euthymius,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2040-01-20,slavic,Friday of the 33rd week after Pentecost,Acts 19.1-8 ~ Forerunner || Titus 1.15-2.10,John 1.29-34 ~ Forerunner || Luke 20.19-26,,,
2040-01-21,greek,Saturday of the 33rd week after Pentecost,Ephesians 1.16-23 || Philippians 1.12-20 ~ St. Maximus,Luke 12.32-40 || Luke 12.8-12 ~ St. Maximus,,,
2040-01-21,slavic,Saturday of the 33rd week after Pentecost,Ephesians 6.10-17 ~ Saturday after Theophany || Ephesians 1.16-23,Matthew 4.1-11 ~ Saturday after Theophany || Luke 12.32-40,,,
2040-01-22,greek,33rd Sunday after Pentecost,Colossians 1.12-18 || 2 Timothy 1.3-8 ~ St. Timothy,"Luke 14.16-24 || Matthew 10.32-33, 37-38, 19.27-30 ~ St. Timothy",11th Matins Gospel :: John 21.15-25,,
2040-01-22,slavic,33rd Sunday after Pentecost,Ephesians 4.7-13 ~ Sunday after Theophany,Matthew 4.12-17 ~ Sunday after Theophany,11th Matins Gospel :: John 21.15-25,,
2040-01-23,greek,Monday of the 34th week after Pentecost,"Hebrews 3.5-11, 17-19 || Philippians 3.20-4.3 ~ St. Clement",Luke 20.27-44 || Mark 2.23-3.5 ~ St. Clement,,,
2040-01-23,slavic,Monday of the 34th week after Pentecost,"Hebrews 3.5-11, 17-19",Luke 20.27-44,,,
2040-01-24,greek,Tuesday of the 34th week after Pentecost,Hebrews 4.1-13 || Galatians 5.22-6.2 ~ Xenia of Rome,Luke 21.12-19,,,
2040-01-24,slavic,Tuesday of the 34th week after Pentecost,Hebrews 4.1-13 || 2 Corinthians 4.6-15 ~ St Theodosius,Luke 21.12-19 || Matthew 11.27-30 ~ St Theodosius,Luke 6.17-23,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2040-01-25,greek,Wednesday of the 34th week after Pentecost,Hebrews 5.11-6.8 || Hebrews 7.26-8.2 ~ St. Gregory,"Luke 21.5-8, 10-11, 20-24 || John 10.9-16 ~ St Gregory",John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2040-01-25,slavic,Wednesday of the 34th week after Pentecost,Hebrews 5.11-6.8,"Luke 21.5-7, 10-11, 20-24",,,
2040-01-26,greek,Thursday of the 34th week after Pentecost,Hebrews 7.1-6,Luke 21.28-33,,,
2040-01-26,slavic,Thursday of the 34th week after Pentecost,Hebrews 7.1-6,Luke 21.28-33,,,
2040-01-27,greek,Friday of the 34th week after Pentecost,Hebrews 7.18-25 || Hebrews 7.26-8.2 ~ St John,Luke 21.37-22.8 || John 10.9-16 ~ St John,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Composite 5 - Wisdom of Solomon 4, 6, 7, 2",
2040-01-27,slavic,Friday of the 34th week after Pentecost,Hebrews 7.18-25,Luke 21.37-22.8,,,
2040-01-28,greek,Saturday of the 34th week after Pentecost,Ephesians 2.11-13 || Galatians 5.22-6.2 ~ St. Ephraim,Luke 13.18-29 || Luke 6.17-23 ~ St. Ephraim,,,
2040-01-28,slavic,Saturday of the 34th week after Pentecost,Ephesians 2.11-13,Luke 13.18-29,,,
2040-01-29,greek,34th Sunday after Pentecost,Colossians 3.4-11 || Hebrews 10.32-38 ~ Ignatius' Relics,Luke 17.12-19 || Mark 9.33-41 ~ Ignatius' Relics,1st Matins Gospel :: Matthew 28.16-20,,
2040-01-29,slavic,34th Sunday after Pentecost,Colossians 3.4-11,Luke 18.18-27,1st Matins Gospel :: Matthew 28.16-20,,
2040-01-30,greek,Monday of the 35th week after Pentecost,Hebrews 8.7-13 || Hebrews 13.7-16 ~ Hierarchs,Mark 8.11-21 || Matthew 5.14-19 ~ Hierarchs,John 10.9-16,"Deuteronomy 1.8-11, 15-17 || Deuteronomy 10.14-21 || Wisdom of Solomon 3.1-9",
2040-01-30,slavic,Monday of the 35th week after Pentecost,Hebrews 8.7-13 || Hebrews 13.17-21 ~ St Anthony,Mark 8.11-21 || Luke 6.17-23 ~ St Anthony,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2040-01-31,greek,Tuesday of the 35th week after Pentecost,"Hebrews 9.8-10, 15-23 || 1 Corinthians 12.27-13.8 ~ Cyrus & John","Mark 8.22-26 || Matthew 10.1, 5-8 ~ Cyrus & John",,,
2040-01-31,slavic,Tuesday of the 35th week after Pentecost,"Hebrews 9.8-10, 15-23",Mark 8.22-26,,,
2040-02-01,greek,Wednesday of the 35th week after Pentecost,Hebrews 10.1-18 || Romans 8.28-39 ~ St. Trypho,Mark 8.30-34 || Luke 10.19-21 ~ St. Trypho,,,
2040-02-01,slavic,Wednesday of the 35th week after Pentecost,Hebrews 10.1-18,Mark 8.30-34,,,
2040-02-02,greek,Thursday of the 35th week after Pentecost,Hebrews 7.7-17 ~ Meeting || Hebrews 10.35-11.7,Luke 2.22-40 ~ Meeting || Mark 9.10-15,Luke 2.25-32,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12 || Isaiah 6.1-12 || Composite 7 - Isaiah 19.1, 3, 4-5, 12, 16, 19-21",
2040-02-02,slavic,Thursday of the 35th week after Pentecost,Hebrews 10.35-11.7 || Hebrews 13.17-21 ~ St Euthymius,Mark 9.10-16 || Luke 6.17-23 ~ St Euthymius,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2040-02-03,greek,Friday of the 35th week after Pentecost,"Hebrews 11.8, 11-16 || Hebrews 9.11-14 ~ Afterfeast of Presentation",Mark 9.33-41 || Luke 2.25-38 ~ Afterfeast of Presentation,,,
2040-02-03,slavic,Friday of the 35th week after Pentecost,"Hebrews 11.8, 11-16",Mark 9.33-41,,,
2040-02-04,greek,Saturday of the 35th week after Pentecost,Ephesians 5.1-8,Luke 14.1-11,,,
2040-02-04,slavic,Saturday of the 35th week after Pentecost,Ephesians 5.1-8,Luke 14.1-11,,,
2040-02-05,greek,35th Sunday after Pentecost,Colossians 3.12-16,Luke 18.18-27,2nd Matins Gospel :: Mark 16.1-8,,
2040-02-05,slavic,35th Sunday after Pentecost,Colossians 3.12-16,Luke 18.35-43,2nd Matins Gospel :: Mark 16.1-8,,
2040-02-06,greek,Monday of the 36th week after Pentecost,"Hebrews 11.17-23, 27-31 || Hebrews 7.26-8.2 ~ St. Photius",Mark 9.42-10.1 || John 10.9-16 ~ St. Photius,,,
2040-02-06,slavic,Monday of the 36th week after Pentecost,"Hebrews 11.17-23, 27-31",Mark 9.42-10.1,,,
2040-02-07,greek,Tuesday of the 36th week after Pentecost,"Hebrews 12.25-26, 13.22-25",Mark 10.2-12,,,
2040-02-07,slavic,Tuesday of the 36th week after Pentecost,"Hebrews 12.25-26, 13.22-25 || 1 Corinthians 12.7-11 ~ St Gregory",Mark 10.2-12 || John 10.9-16 ~ St Gregory,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2040-02-08,greek,Wednesday of the 36th week after Pentecost,James 1.1-18 || Ephesians 2.4-10 ~ St. Theodore,Mark 10.11-16 || Matthew 10.16-22 ~ St. Theodore,,,
2040-02-08,slavic,Wednesday of the 36th week after Pentecost,James 1.1-18,Mark 10.11-16,,,
2040-02-09,greek,Thursday of the 36th week after Pentecost,James 1.19-27 || Hebrews 7.7-17 ~ Meeting,Mark 10.17-27 || Luke 2.22-40 ~ Meeting,,,
2040-02-09,slavic,Thursday of the 36th week after Pentecost,James 1.19-27 || Hebrews 7.26-8.2 ~ St John,Mark 10.17-27 || John 10.9-16 ~ St John,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Composite 5 - Wisdom of Solomon 4, 6, 7, 2",
2040-02-10,greek,Friday of the 36th week after Pentecost,James 2.1-13 || 2 Timothy 2.1-10 ~ St. Haralambos,Mark 10.23-32 || John 15.17-16.2 ~ St. Haralambos,,,
2040-02-10,slavic,Friday of the 36th week after Pentecost,James 2.1-13,Mark 10.23-32,,,
2040-02-11,greek,Saturday of the 36th week after Pentecost,Colossians 1.3-6 || Hebrews 4.14-5.6 ~ Blaise,"Luke 16.10-15 || Matthew 10.1, 5-8 ~ Blaise",,,
2040-02-11,slavic,Saturday of the 36th week after Pentecost,Colossians 1.3-6,Luke 16.10-15,,,
2040-02-12,greek,36th Sunday after Pentecost,1 Timothy 1.15-17,Luke 18.35-43,3rd Matins Gospel :: Mark 16.9-20,,
2040-02-12,slavic,36th Sunday after Pentecost,1 Timothy 1.15-17 || Hebrews 13.7-16 ~ Hierarchs,Matthew 15.21-28 || Matthew 5.14-19 ~ Hierarchs,3rd Matins Gospel :: Mark 16.9-20,"Deuteronomy 1.8-11, 15-17 || Deuteronomy 10.14-21 || Wisdom of Solomon 3.1-9",
2040-02-13,greek,Monday of the 37th week after Pentecost,James 2.14-26,Mark 10.46-52,,,
2040-02-13,slavic,Monday of the 37th week after Pentecost,James 2.14-26,Mark 10.46-52,,,
2040-02-14,greek,Tuesday of the 37th week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2040-02-14,slavic,Tuesday of the 37th week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2040-02-15,greek,Wednesday of the 37th week after Pentecost,James 3.11-4.6,Mark 11.22-26,,,
2040-02-15,slavic,Wednesday of the 37th week after Pentecost,Hebrews 7.7-17 ~ Meeting || James 3.11-4.6,Luke 2.22-40 ~ Meeting || Mark 11.22-26,Luke 2.25-32,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12 || Isaiah 6.1-12 || Composite 7 - Isaiah 19.1, 3, 4-5, 12, 16, 19-21",
2040-02-16,greek,Thursday of the 37th week after Pentecost,James 4.7-5.9,Mark 11.27-33,,,
2040-02-16,slavic,Thursday of the 37th week after Pentecost,James 4.7-5.9,Mark 11.27-33,,,
2040-02-17,greek,Friday of the 37th week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10 || 2 Timothy 2.1-10 ~ Theodore Tyro",Mark 12.1-12 || Luke 20.46-21.4 ~ Theodore Tyro,,,
2040-02-17,slavic,Friday of the 37th week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10",Mark 12.1-12,,,
2040-02-18,greek,Saturday of the 37th week after Pentecost,1 Thessalonians 5.14-23,Luke 17.3-10,,,
2040-02-18,slavic,Saturday of the 37th week after Pentecost,1 Thessalonians 5.14-23 || Hebrews 13.17-21 ~ St Theodosius,Luke 17.3-10 || Luke 6.17-23 ~ St Theodosius,John 10.9-16,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2040-02-19,greek,Sunday of Zacchaeus,2 Corinthians 6.16-7.1,Matthew 15.21-28,4th Matins Gospel :: Luke 24.1-12,,
2040-02-19,slavic,Sunday of Zacchaeus,1 Timothy 4.9-15,Luke 19.1-10,4th Matins Gospel :: Luke 24.1-12,,
2040-02-20,greek,,1 Peter 2.21-3.9,Mark 12.13-17,,,
2040-02-20,slavic,,1 Peter 2.21-3.9,Mark 12.13-17,,,
2040-02-21,greek,,1 Peter 3.10-22,Mark 12.18-27,,,
2040-02-21,slavic,,1 Peter 3.10-22,Mark 12.18-27,,,
2040-02-22,greek,,1 Peter 4.1-11,Mark 12.28-37,,,
2040-02-22,slavic,,1 Peter 4.1-11 || Hebrews 7.7-17 ~ Meeting,Mark 12.28-37 || Luke 2.22-40 ~ Meeting,,,
2040-02-23,greek,,1 Peter 4.12-5.5,Mark 12.38-44,,,
2040-02-23,slavic,,1 Peter 4.12-5.5,Mark 12.38-44,,,
2040-02-24,greek,,2 Peter 1.1-10 || 2 Corinthians 4.6-15 ~ Forerunner,Mark 13.1-8 || Matthew 11.2-15 ~ Forerunner,Luke 7.17-30 ~ Forerunner,"Composite 8 - Isaiah 40, 41, 45, 48, 54 ~ Forerunner || Composite 9 - Malachi 3, 4 ~ Forerunner || Composite 3 - Wisdom of Solomon 4, 5 ~ Forerunner",
2040-02-24,slavic,,2 Peter 1.1-10,Mark 13.1-8,,,
2040-02-25,greek,,2 Timothy 2.11-19,Luke 18.2-8,,,
2040-02-25,slavic,,2 Timothy 2.11-19,Luke 18.2-8,,,
2040-02-26,greek,Sunday of the Publican and the Pharisee,2 Timothy 3.10-15,Luke 18.10-14,5th Matins Gospel :: Luke 24.12-35,,
2040-02-26,slavic,Sunday of the Publican and the Pharisee,2 Timothy 3.10-15,Luke 18.10-14,5th Matins Gospel :: Luke 24.12-35,,
2040-02-27,greek,,2 Peter 1.20-2.9 || Hebrews 13.17-21 ~ St Raphael,Mark 13.9-13 || John 10.9-16 ~ St Raphael,John 10.1-9 ~ St Raphael,"Composite 2 - Proverbs 10, 3, 8 ~ St Raphael || Proverbs 10.31-11.12 ~ St Raphael || Wisdom of Solomon 4.7-15 ~ St Raphael",
2040-02-27,slavic,,2 Peter 1.20-2.9,Mark 13.9-13,,,
2040-02-28,greek,,2 Peter 2.9-22,Mark 13.14-23,,,
2040-02-28,slavic,,2 Peter 2.9-22,Mark 13.14-23,,,
2040-02-29,greek,,2 Peter 3.1-18 || 1 John 2.18-3.10 ~ St John,Mark 13.24-31 || Mark 11.1-11 ~ St John,,,
2040-02-29,slavic,,2 Peter 3.1-18,Mark 13.24-31,,,
2040-03-01,greek,,1 John 1.8-2.6,Mark 13.31-14.2,,,
2040-03-01,slavic,,1 John 1.8-2.6,Mark 13.31-14.2,,,
2040-03-02,greek,,1 John 2.7-17,Mark 14.3-9,,,
2040-03-02,slavic,,1 John 2.7-17,Mark 14.3-9,,,
2040-03-03,greek,,1 Timothy 6.11-16,Luke 20.46-21.4,,,
2040-03-03,slavic,,2 Timothy 3.1-9,Luke 20.46-21.4,,,
2040-03-04,greek,Sunday of the Prodigal Son,1 Corinthians 6.12-20,Luke 15.11-32,6th Matins Gospel :: Luke 24.36-53,,
2040-03-04,slavic,Sunday of the Prodigal Son,1 Corinthians 6.12-20,Luke 15.11-32,6th Matins Gospel :: Luke 24.36-53,,
2040-03-05,greek,Monday of Meatfare,1 John 2.18-3.10,Mark 11.1-11,,,
2040-03-05,slavic,Monday of Meatfare,1 John 2.18-3.10,Mark 11.1-11,,,
2040-03-06,greek,Tuesday of Meatfare,1 John 3.10-20,Mark 14.10-42,,,
2040-03-06,slavic,Tuesday of Meatfare,1 John 3.10-20,Mark 14.10-42,,,
2040-03-07,greek,Wednesday of Meatfare,1 John 3.21-4.6,Mark 14.43-15.1,,,
2040-03-07,slavic,Wednesday of Meatfare,1 John 3.21-4.6,Mark 14.43-15.1,,,
2040-03-08,greek,Thursday of Meatfare,1 John 4.20-5.21,Mark 15.1-15,,,
