date,tradition,title,epistle,gospel,matins,vespers,other
2024-01-06,slavic,Saturday of the 31st week after Pentecost,Galatians 3.8-12 ~ Saturday before Nativity || Galatians 3.15-22 ~ at Vespers,Luke 13.18-29 ~ Saturday before Nativity || Luke 2.1-20 ~ at Vespers,,"Genesis 1.1-13 || Numbers 24.2-3, 5-9, 17-18 || Micah 4.6-7; 5.2-4 || Isaiah 11.1-10 || Jeremiah (Baruch 3.35-4.4) || Daniel 2.31-36, 44-45 || Isaiah 9.6-7 || Isaiah 7.10-16; 8.1-4, 9-10",
2024-01-07,greek,31st Sunday after Pentecost,Ephesians 4.7-13 ~ Sunday after Theophany || Acts 19.1-8 ~ Forerunner,Matthew 4.12-17 ~ Sunday after Theophany || John 1.29-34 ~ Forerunner,9th Matins Gospel :: John 20.19-31,,
2024-01-07,slavic,31st Sunday after Pentecost,Galatians 4.4-7 ~ Nativity,Matthew 2.1-12 ~ Nativity,Matthew 1.18-25,,
2024-01-08,greek,Monday of the 32nd week after Pentecost,James 2.14-26 || Romans 6.3-11 ~ Afterfeast of Theophany,Luke 17.20-25 || John 3.22-33 ~ Afterfeast of Theophany,,,
2024-01-08,slavic,Monday of the 32nd week after Pentecost,Galatians 1.11-19 ~ Sunday after Nativity || Hebrews 2.11-18 ~ Theotokos,Matthew 2.13-23 ~ Sunday after Nativity and Theotokos || Matthew 2.13-23 ~ Theotokos,,,
2024-01-09,greek,Tuesday of the 32nd week after Pentecost,James 3.1-10 || 2 Timothy 2.1-10 ~ Afterfeast of Theophany,Luke 17.26-37; 18.8 || Mark 1.9-15 ~ Afterfeast of Theophany,,,
2024-01-09,slavic,Tuesday of the 32nd week after Pentecost,"James 3.1-10 || Acts 6.8-7.5, 47-60 ~ St Stephen",Mark 11.11-23 || Matthew 21.33-42 ~ St Stephen,,,
2024-01-10,greek,Wednesday of the 32nd week after Pentecost,James 3.11-4.6 || Ephesians 4.7-13 ~ Afterfeast of Theophany,"Luke 18.15-17, 26-30 || Luke 3.19-22 ~ Afterfeast of Theophany",,,
2024-01-10,slavic,Wednesday of the 32nd week after Pentecost,James 3.11-4.6,Mark 11.22-26,,,
2024-01-11,greek,Thursday of the 32nd week after Pentecost,James 4.7-5.9 || 2 Corinthians 4.6-15 ~ St Theodosius || Hebrews 13.7-16 ~ Afterfeast of Theophany,Luke 18.31-34 || Matthew 11.27-30 ~ St Theodosius || Luke 4.1-15 ~ Afterfeast of Theophany,Luke 6.17-23,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2024-01-11,slavic,Thursday of the 32nd week after Pentecost,James 4.7-5.9,Mark 11.27-33,,,
2024-01-12,greek,Friday of the 32nd week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10 || Acts 18.22-28 ~ Afterfeast of Theophany",Luke 19.12-28 || John 10.39-42 ~ Afterfeast of Theophany,,,
2024-01-12,slavic,Friday of the 32nd week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10",Mark 12.1-12,,,
2024-01-13,greek,Saturday of the 32nd week after Pentecost,Ephesians 6.10-17 ~ Saturday after Theophany || 1 Thessalonians 5.14-23 || Galatians 3.23-4.5 ~ Afterfeast of Theophany,Matthew 4.1-11 ~ Saturday after Theophany || Luke 10.16-21 || Luke 20.1-8 ~ Afterfeast of Theophany,,,
2024-01-13,slavic,Saturday of the 32nd week after Pentecost,1 Timothy 6.11-16 ~ Saturday after Nativity || 1 Timothy 3.14-4.5 ~ Saturday before Theophany || 1 Thessalonians 5.14-23,Matthew 12.15-21 ~ Saturday after Nativity || Matthew 3.1-11 ~ Saturday before Theophany || Luke 17.3-10,,,
2024-01-14,greek,32nd Sunday after Pentecost,Ephesians 4.7-13 ~ Sunday after Theophany,Matthew 4.12-17 ~ Sunday after Theophany,10th Matins Gospel :: John 21.1-14,,
2024-01-14,slavic,32nd Sunday after Pentecost,2 Timothy 4.5-8 ~ Sunday before Theophany || Colossians 2.8-12 ~ Circumcision || Hebrews 7.26-8.2 ~ St Basil,"Mark 1.1-8 ~ Sunday before Theophany || Luke 2.20-21, 40-52 ~ Circumcision || Luke 6.17-23 ~ St Basil",10th Matins Gospel :: John 21.1-14,"Composite 1 - Genesis 17.1-2, 4, 5-7, 8, 9-10, 11-12, 14 || Proverbs 8.22-30 || Proverbs 10.31-11.12",
2024-01-15,greek,Monday of the 33rd week after Pentecost,2 Timothy 2.20-26 || Galatians 5.22-6.2 ~ John the Hut-Dweller,Luke 19.37-44 || Luke 12.32-40 ~ John the Hut-Dweller,,,
2024-01-15,slavic,Monday of the 33rd week after Pentecost,2 Timothy 2.20-26 || Galatians 5.22-6.2 ~ St Seraphim,Luke 19.37-44 || Luke 6.17-23 ~ St Seraphim,Matthew 11.27-30,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2024-01-16,greek,Tuesday of the 33rd week after Pentecost,2 Timothy 3.16-4.4 || Acts 12.1-11 ~ Peter's Chains,Luke 19.45-48 || John 21.14-25 ~ Peter's Chains,,,
2024-01-16,slavic,Tuesday of the 33rd week after Pentecost,2 Timothy 3.16-4.4,Luke 19.45-48,,,
2024-01-17,greek,Wednesday of the 33rd week after Pentecost,2 Timothy 4.9-22 || Hebrews 13.17-21 ~ St Anthony,Luke 20.1-8 || Luke 6.17-23 ~ St Anthony,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2024-01-17,slavic,Wednesday of the 33rd week after Pentecost,2 Timothy 4.9-22,Luke 20.1-8,,,
2024-01-18,greek,Thursday of the 33rd week after Pentecost,Titus 1.5-2.1 || Hebrews 13.7-16 ~ Athanasius & Cyril,Luke 20.9-18 || Matthew 5.14-19 ~ Athanasius & Cyril,,,
2024-01-18,slavic,Thursday of the 33rd week after Pentecost,1 Corinthians 9.19-27 ~ Eve of Theophany,Luke 3.1-18 ~ Eve of Theophany,,"Genesis 1.1-13 || Exodus 14.15-18, 21-23, 27-29 || Exodus 15.22-16.1 || Joshua 3.7-8, 15-17 || 4[2] Kings 2.6-14 || 4[2] Kings 5.9-14 || Isaiah 1.16-20 || Genesis 32.1-10 || Exodus 2.5-10 || Judges 6.36-40 || 3[1] Kings 18.30-39 || 4[2] Kings 2.19-22 || Isaiah 49.8-15","1st Hour, Prophecy :: Isaiah 35.1-10 || 1st Hour, Epistle :: Acts 13.25-33 || 1st Hour, Gospel :: Matthew 3.1-11 || 3rd Hour, Prophecy :: Isaiah 1.16-20 || 3rd Hour, Epistle :: Acts 19.1-8 || 3rd Hour, Gospel :: Mark 1.1-8 || 6th Hour, Prophecy :: Isaiah 12.3-6 || 6th Hour, Epistle :: Romans 6.3-11 || 6th Hour, Gospel :: Mark 1.9-15 || 9th Hour, Prophecy :: Isaiah 49.8-15 || 9th Hour, Epistle :: Titus 2.11-14, 3.4-7 || 9th Hour, Gospel :: Matthew 3.13-17 || Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel"
2024-01-19,greek,Friday of the 33rd week after Pentecost,Titus 1.15-2.10 || Galatians 5.22-6.2 ~ Macarius the Great,Luke 20.19-26,,,
2024-01-19,slavic,Friday of the 33rd week after Pentecost,"Titus 2.11-14, 3.4-7 ~ Theophany",Matthew 3.13-17 ~ Theophany,Mark 1.9-11,,Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel
2024-01-20,greek,Saturday of the 33rd week after Pentecost,Ephesians 1.16-23 || 2 Corinthians 4.6-15 ~ St. Euthymius,Luke 12.32-40 || Luke 6.17-23 ~ St Euthymius,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2024-01-20,slavic,Saturday of the 33rd week after Pentecost,Ephesians 6.10-17 ~ Saturday after Theophany || Acts 19.1-8 ~ Forerunner,Matthew 4.1-11 ~ Saturday after Theophany || John 1.29-34 ~ Forerunner,,,
2024-01-21,greek,33rd Sunday after Pentecost,Colossians 3.4-11 || Philippians 1.12-20 ~ St. Maximus,Luke 17.12-19 || Luke 12.8-12 ~ St. Maximus,11th Matins Gospel :: John 21.15-25,,
2024-01-21,slavic,33rd Sunday after Pentecost,Ephesians 4.7-13 ~ Sunday after Theophany,Matthew 4.12-17 ~ Sunday after Theophany,11th Matins Gospel :: John 21.15-25,,
2024-01-22,greek,Monday of the 34th week after Pentecost,"Hebrews 3.5-11, 17-19 || 2 Timothy 1.3-8 ~ St. Timothy","Luke 20.27-44 || Matthew 10.32-33, 37-38, 19.27-30 ~ St. Timothy",,,
2024-01-22,slavic,Monday of the 34th week after Pentecost,"Hebrews 3.5-11, 17-19",Luke 20.27-44,,,
2024-01-23,greek,Tuesday of the 34th week after Pentecost,Hebrews 4.1-13 || Philippians 3.20-4.3 ~ St. Clement,Luke 21.12-19 || Mark 2.23-3.5 ~ St. Clement,,,
2024-01-23,slavic,Tuesday of the 34th week after Pentecost,Hebrews 4.1-13,Luke 21.12-19,,,
2024-01-24,greek,Wednesday of the 34th week after Pentecost,Hebrews 5.11-6.8 || Galatians 5.22-6.2 ~ Xenia of Rome,"Luke 21.5-8, 10-11, 20-24",,,
2024-01-24,slavic,Wednesday of the 34th week after Pentecost,Hebrews 5.11-6.8 || 2 Corinthians 4.6-15 ~ St Theodosius,"Luke 21.5-7, 10-11, 20-24 || Matthew 11.27-30 ~ St Theodosius",Luke 6.17-23,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2024-01-25,greek,Thursday of the 34th week after Pentecost,Hebrews 7.1-6 || Hebrews 7.26-8.2 ~ St. Gregory,Luke 21.28-33 || John 10.9-16 ~ St Gregory,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2024-01-25,slavic,Thursday of the 34th week after Pentecost,Hebrews 7.1-6,Luke 21.28-33,,,
2024-01-26,greek,Friday of the 34th week after Pentecost,Hebrews 7.18-25,Luke 21.37-22.8,,,
2024-01-26,slavic,Friday of the 34th week after Pentecost,Hebrews 7.18-25,Luke 21.37-22.8,,,
2024-01-27,greek,Saturday of the 34th week after Pentecost,Ephesians 2.11-13 || Hebrews 7.26-8.2 ~ St John,Luke 13.18-29 || John 10.9-16 ~ St John,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Composite 5 - Wisdom of Solomon 4, 6, 7, 2",
2024-01-27,slavic,Saturday of the 34th week after Pentecost,Ephesians 2.11-13,Luke 13.18-29,,,
2024-01-28,greek,34th Sunday after Pentecost,1 Timothy 1.15-17 || Galatians 5.22-6.2 ~ St. Ephraim,Luke 18.35-43 || Luke 6.17-23 ~ St. Ephraim,1st Matins Gospel :: Matthew 28.16-20,,
2024-01-28,slavic,34th Sunday after Pentecost,Colossians 3.4-11,Luke 18.18-27,1st Matins Gospel :: Matthew 28.16-20,,
2024-01-29,greek,Monday of the 35th week after Pentecost,Hebrews 8.7-13 || Hebrews 10.32-38 ~ Ignatius' Relics,Mark 8.11-21 || Mark 9.33-41 ~ Ignatius' Relics,,,
2024-01-29,slavic,Monday of the 35th week after Pentecost,Hebrews 8.7-13,Mark 8.11-21,,,
2024-01-30,greek,Tuesday of the 35th week after Pentecost,"Hebrews 9.8-10, 15-23 || Hebrews 13.7-16 ~ Hierarchs",Mark 8.22-26 || Matthew 5.14-19 ~ Hierarchs,John 10.9-16,"Deuteronomy 1.8-11, 15-17 || Deuteronomy 10.14-21 || Wisdom of Solomon 3.1-9",
2024-01-30,slavic,Tuesday of the 35th week after Pentecost,"Hebrews 9.8-10, 15-23 || Hebrews 13.17-21 ~ St Anthony",Mark 8.22-26 || Luke 6.17-23 ~ St Anthony,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2024-01-31,greek,Wednesday of the 35th week after Pentecost,Hebrews 10.1-18 || 1 Corinthians 12.27-13.8 ~ Cyrus & John,"Mark 8.30-34 || Matthew 10.1, 5-8 ~ Cyrus & John",,,
2024-01-31,slavic,Wednesday of the 35th week after Pentecost,Hebrews 10.1-18,Mark 8.30-34,,,
2024-02-01,greek,Thursday of the 35th week after Pentecost,Hebrews 10.35-11.7 || Romans 8.28-39 ~ St. Trypho,Mark 9.10-15 || Luke 10.19-21 ~ St. Trypho,,,
2024-02-01,slavic,Thursday of the 35th week after Pentecost,Hebrews 10.35-11.7,Mark 9.10-16,,,
2024-02-02,greek,Friday of the 35th week after Pentecost,"Hebrews 7.7-17 ~ Meeting || Hebrews 11.8, 11-16",Luke 2.22-40 ~ Meeting || Mark 9.33-41,Luke 2.25-32,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12 || Isaiah 6.1-12 || Composite 7 - Isaiah 19.1, 3, 4-5, 12, 16, 19-21",
2024-02-02,slavic,Friday of the 35th week after Pentecost,"Hebrews 11.8, 11-16 || Hebrews 13.17-21 ~ St Euthymius",Mark 9.33-41 || Luke 6.17-23 ~ St Euthymius,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2024-02-03,greek,Saturday of the 35th week after Pentecost,Ephesians 5.1-8 || Hebrews 9.11-14 ~ Afterfeast of Presentation,Luke 14.1-11 || Luke 2.25-38 ~ Afterfeast of Presentation,,,
2024-02-03,slavic,Saturday of the 35th week after Pentecost,Ephesians 5.1-8,Luke 14.1-11,,,
2024-02-04,greek,35th Sunday after Pentecost,1 Timothy 4.9-15,Luke 19.1-10,2nd Matins Gospel :: Mark 16.1-8,,
2024-02-04,slavic,35th Sunday after Pentecost,Colossians 3.12-16,Luke 18.35-43,2nd Matins Gospel :: Mark 16.1-8,,
2024-02-05,greek,Monday of the 36th week after Pentecost,"Hebrews 11.17-23, 27-31",Mark 9.42-10.1,,,
2024-02-05,slavic,Monday of the 36th week after Pentecost,"Hebrews 11.17-23, 27-31",Mark 9.42-10.1,,,
2024-02-06,greek,Tuesday of the 36th week after Pentecost,"Hebrews 12.25-26, 13.22-25 || Hebrews 7.26-8.2 ~ St. Photius",Mark 10.2-12 || John 10.9-16 ~ St. Photius,,,
2024-02-06,slavic,Tuesday of the 36th week after Pentecost,"Hebrews 12.25-26, 13.22-25",Mark 10.2-12,,,
2024-02-07,greek,Wednesday of the 36th week after Pentecost,James 1.1-18,Mark 10.11-16,,,
2024-02-07,slavic,Wednesday of the 36th week after Pentecost,James 1.1-18 || 1 Corinthians 12.7-11 ~ St Gregory,Mark 10.11-16 || John 10.9-16 ~ St Gregory,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2024-02-08,greek,Thursday of the 36th week after Pentecost,James 1.19-27 || Ephesians 2.4-10 ~ St. Theodore,Mark 10.17-27 || Matthew 10.16-22 ~ St. Theodore,,,
2024-02-08,slavic,Thursday of the 36th week after Pentecost,James 1.19-27,Mark 10.17-27,,,
2024-02-09,greek,Friday of the 36th week after Pentecost,James 2.1-13 || Hebrews 7.7-17 ~ Meeting,Mark 10.23-32 || Luke 2.22-40 ~ Meeting,,,
2024-02-09,slavic,Friday of the 36th week after Pentecost,James 2.1-13 || Hebrews 7.26-8.2 ~ St John,Mark 10.23-32 || John 10.9-16 ~ St John,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Composite 5 - Wisdom of Solomon 4, 6, 7, 2",
2024-02-10,greek,Saturday of the 36th week after Pentecost,Colossians 1.3-6 || 2 Timothy 2.1-10 ~ St. Haralambos,Luke 16.10-15 || John 15.17-16.2 ~ St. Haralambos,,,
2024-02-10,slavic,Saturday of the 36th week after Pentecost,Colossians 1.3-6,Luke 16.10-15,,,
2024-02-11,greek,36th Sunday after Pentecost,2 Corinthians 6.1-10 || Hebrews 4.14-5.6 ~ Blaise,"Matthew 25.14-30 || Matthew 10.1, 5-8 ~ Blaise",3rd Matins Gospel :: Mark 16.9-20,,
2024-02-11,slavic,36th Sunday after Pentecost,1 Timothy 1.15-17,Matthew 15.21-28,3rd Matins Gospel :: Mark 16.9-20,,
2024-02-12,greek,Monday of the 37th week after Pentecost,James 2.14-26,Mark 10.46-52,,,
2024-02-12,slavic,Monday of the 37th week after Pentecost,James 2.14-26 || Hebrews 13.7-16 ~ Hierarchs,Mark 10.46-52 || Matthew 5.14-19 ~ Hierarchs,John 10.9-16,"Deuteronomy 1.8-11, 15-17 || Deuteronomy 10.14-21 || Wisdom of Solomon 3.1-9",
2024-02-13,greek,Tuesday of the 37th week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2024-02-13,slavic,Tuesday of the 37th week after Pentecost,James 3.1-10,Mark 11.11-23,,,
2024-02-14,greek,Wednesday of the 37th week after Pentecost,James 3.11-4.6,Mark 11.22-26,,,
2024-02-14,slavic,Wednesday of the 37th week after Pentecost,James 3.11-4.6,Mark 11.22-26,,,
2024-02-15,greek,Thursday of the 37th week after Pentecost,James 4.7-5.9,Mark 11.27-33,,,
2024-02-15,slavic,Thursday of the 37th week after Pentecost,Hebrews 7.7-17 ~ Meeting || James 4.7-5.9,Luke 2.22-40 ~ Meeting || Mark 11.27-33,Luke 2.25-32,"Composite 6 - Exodus 12, 13; Numbers 8; Leviticus 12 || Isaiah 6.1-12 || Composite 7 - Isaiah 19.1, 3, 4-5, 12, 16, 19-21",
2024-02-16,greek,Friday of the 37th week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10",Mark 12.1-12,,,
2024-02-16,slavic,Friday of the 37th week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10",Mark 12.1-12,,,
2024-02-17,greek,Saturday of the 37th week after Pentecost,1 Thessalonians 5.14-23 || 2 Timothy 2.1-10 ~ Theodore Tyro,Luke 17.3-10 || Luke 20.46-21.4 ~ Theodore Tyro,,,
2024-02-17,slavic,Saturday of the 37th week after Pentecost,1 Thessalonians 5.14-23,Luke 17.3-10,,,
2024-02-18,greek,Sunday of Zacchaeus,2 Corinthians 6.16-7.1,Matthew 15.21-28,4th Matins Gospel :: Luke 24.1-12,,
2024-02-18,slavic,Sunday of Zacchaeus,1 Timothy 4.9-15 || Hebrews 13.17-21 ~ St Theodosius,Luke 19.1-10 || Luke 6.17-23 ~ St Theodosius,4th Matins Gospel :: Luke 24.1-12,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2024-02-19,greek,,1 Peter 2.21-3.9,Mark 12.13-17,,,
2024-02-19,slavic,,1 Peter 2.21-3.9,Mark 12.13-17,,,
2024-02-20,greek,,1 Peter 3.10-22,Mark 12.18-27,,,
2024-02-20,slavic,,1 Peter 3.10-22,Mark 12.18-27,,,
2024-02-21,greek,,1 Peter 4.1-11,Mark 12.28-37,,,
2024-02-21,slavic,,1 Peter 4.1-11,Mark 12.28-37,,,
2024-02-22,greek,,1 Peter 4.12-5.5,Mark 12.38-44,,,
2024-02-22,slavic,,1 Peter 4.12-5.5 || Hebrews 7.7-17 ~ Meeting,Mark 12.38-44 || Luke 2.22-40 ~ Meeting,,,
2024-02-23,greek,,2 Peter 1.1-10,Mark 13.1-8,,,
2024-02-23,slavic,,2 Peter 1.1-10,Mark 13.1-8,,,
2024-02-24,greek,,2 Timothy 2.11-19 || 2 Corinthians 4.6-15 ~ Forerunner,Luke 18.2-8 || Matthew 11.2-15 ~ Forerunner,Luke 7.17-30 ~ Forerunner,"Composite 8 - Isaiah 40, 41, 45, 48, 54 ~ Forerunner || Composite 9 - Malachi 3, 4 ~ Forerunner || Composite 3 - Wisdom of Solomon 4, 5 ~ Forerunner",
2024-02-24,slavic,,2 Timothy 2.11-19,Luke 18.2-8,,,
2024-02-25,greek,Sunday of the Publican and the Pharisee,2 Timothy 3.10-15,Luke 18.10-14,5th Matins Gospel :: Luke 24.12-35,,
2024-02-25,slavic,Sunday of the Publican and the Pharisee,2 Timothy 3.10-15,Luke 18.10-14,5th Matins Gospel :: Luke 24.12-35,,
2024-02-26,greek,,2 Peter 1.20-2.9,Mark 13.9-13,,,
2024-02-26,slavic,,2 Peter 1.20-2.9,Mark 13.9-13,,,
2024-02-27,greek,,2 Peter 2.9-22 || Hebrews 13.17-21 ~ St Raphael,Mark 13.14-23 || John 10.9-16 ~ St Raphael,John 10.1-9 ~ St Raphael,"Composite 2 - Proverbs 10, 3, 8 ~ St Raphael || Proverbs 10.31-11.12 ~ St Raphael || Wisdom of Solomon 4.7-15 ~ St Raphael",
2024-02-27,slavic,,2 Peter 2.9-22,Mark 13.14-23,,,
2024-02-28,greek,,2 Peter 3.1-18,Mark 13.24-31,,,
2024-02-28,slavic,,2 Peter 3.1-18,Mark 13.24-31,,,
2024-02-29,greek,,1 John 1.8-2.6 || 1 John 2.18-3.10 ~ St John,Mark 13.31-14.2 || Mark 11.1-11 ~ St John,,,
2024-02-29,slavic,,1 John 1.8-2.6,Mark 13.31-14.2,,,
2024-03-01,greek,,1 John 2.7-17,Mark 14.3-9,,,
2024-03-01,slavic,,1 John 2.7-17,Mark 14.3-9,,,
2024-03-02,greek,,1 Timothy 6.11-16,Luke 20.46-21.4,,,
2024-03-02,slavic,,2 Timothy 3.1-9,Luke 20.46-21.4,,,
2024-03-03,greek,Sunday of the Prodigal Son,1 Corinthians 6.12-20,Luke 15.11-32,6th Matins Gospel :: Luke 24.36-53,,
2024-03-03,slavic,Sunday of the Prodigal Son,1 Corinthians 6.12-20,Luke 15.11-32,6th Matins Gospel :: Luke 24.36-53,,
2024-03-04,greek,Monday of Meatfare,1 John 2.18-3.10,Mark 11.1-11,,,
2024-03-04,slavic,Monday of Meatfare,1 John 2.18-3.10,Mark 11.1-11,,,
2024-03-05,greek,Tuesday of Meatfare,1 John 3.10-20,Mark 14.10-42,,,
2024-03-05,slavic,Tuesday of Meatfare,1 John 3.10-20,Mark 14.10-42,,,
2024-03-06,greek,Wednesday of Meatfare,1 John 3.21-4.6,Mark 14.43-15.1,,,
2024-03-06,slavic,Wednesday of Meatfare,1 John 3.21-4.6,Mark 14.43-15.1,,,
2024-03-07,greek,Thursday of Meatfare,1 John 4.20-5.21,Mark 15.1-15,,,
2024-03-07,slavic,Thursday of Meatfare,1 John 4.20-5.21,Mark 15.1-15,,,
2024-03-08,greek,Friday of Meatfare,2 John 1.1-13,"Mark 15.20, 22, 25, 33-41",,,
